,CompanyName,Title,location,duration,salary,No_of_applied,Total_postings,Total_hired,Started_since
265,StoryMirror Infotech Private Limited,Software Development,Mumbai,4 Months,"₹ 10,000 - 40,000 /month",254 applicants,12 opportunities posted,1 candidate hired,Hiring since October 2024
266,MentorBoxx,Machine Learning,Work from home,2 Months,"₹ 10,000 /month",447 applicants,1719 opportunities posted,13 candidates hired,Hiring since April 2021
267,MentorBoxx,Digital Marketing,"Chennai, Coimbatore, Delhi, Gurgaon, Lucknow, Patna, Pune, Ranchi, Hyderabad, Mumbai, Varanasi, Jaipur, Noida, Bangalore, Andhra Tharhi",2 Months,"₹ 10,000 /month",129 applicants,1719 opportunities posted,13 candidates hired,Hiring since April 2021
268,MentorBoxx,Data Science,Work from home,1 Month,"₹ 10,000 /month",371 applicants,1719 opportunities posted,13 candidates hired,Hiring since April 2021
269,Anovate,Content Development (Analytics),Work from home,2 Months,"₹ 10,000 - 15,000 /month",87 applicants,1 opportunity posted,,Hiring since May 2025
270,UnleashX,Search Engine Optimization (SEO),Gurgaon,3 Months,"₹ 15,000 - 17,000 /month",Be an early applicant,1 opportunity posted,,Hiring since May 2025
271,Solvitude,Quality Assurance (Business & Technology),Work from home,2 Months,"₹ 3,000 - 7,000 /month",94 applicants,370 opportunities posted,84 candidates hired,Hiring since April 2023
272,Pawzz Foundation,Project Management,Work from home,1 Month,"₹ 1,500 - 15,000 /month",166 applicants,388 opportunities posted,2416 candidates hired,Hiring since August 2024
273,Clink,AI Agent Development,Work from home,3 Months,"₹ 15,000 - 25,000 /month",138 applicants,7 opportunities posted,5 candidates hired,Hiring since October 2024
274,Talent Corner HR Services,IT Consultant,Mumbai,3 Months,"₹ 15,000 lump sum",33 applicants,874 opportunities posted,173 candidates hired,Hiring since March 2020
275,Arealis Networks Pvt. Ltd.,UrbanTech Operations,Pune                                                    (Hybrid),3 Months,"₹ 3,000 - 5,000 /month",45 applicants,1 opportunity posted,,Hiring since May 2025
276,Renan Partners,Large Language Model (LLM),Work from home,6 Months,"₹ 5,000 /month",127 applicants,59 opportunities posted,43 candidates hired,Hiring since August 2024
277,Kkonnect.io,Data Analytics,Bangalore,3 Months,"₹ 10,000 - 15,000 /month",166 applicants,9 opportunities posted,5 candidates hired,Hiring since February 2024
278,Coprotect Venture,Robotics Development Internship,Gandhinagar,4 Months,"₹ 6,000 - 10,000 /month",26 applicants,1 opportunity posted,,Hiring since May 2025
279,Jivichem Synthesis Private Limited,Artificial Intelligence (AI),Work from home,1 Month,"₹ 22,000 /month",538 applicants,58 opportunities posted,4 candidates hired,Hiring since April 2023
280,Jivichem Synthesis Private Limited,Data Science,Work from home,1 Month,"₹ 22,000 /month",468 applicants,58 opportunities posted,4 candidates hired,Hiring since April 2023
281,Pehchaan AI Technologies,Software Developer – AI Agent Systems,Work from home,6 Months,"₹ 10,000 - 15,000 /month",279 applicants,20 opportunities posted,2 candidates hired,Hiring since April 2024
